RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,EXPSOU,NOBJNM,OBJNAM,QUASOU,SOUACC,TECSOU,VERDAT,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND,DEPTH,_enc_cell,depth_m,_sound_id,CATZOC,QUAL_POSACC,QUAL_SOUACC,QUAL_SUREND,QUAL_SURSTA,QUAL_TECSOU,QUAL_VERDAT,QUAL_INFORM,QUAL_SORDAT,QUAL_SORIND,QUAL_ENC_CELL,zoc_label,quality_model_weight,lon,lat
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.0,US4TB3P0,27.0,49,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924011,7.3270502
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",42.0,US4TB3P0,42.0,50,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924164,7.2964501
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",7.1,US4TB3P0,7.1,51,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924316,7.2994137
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",9.2,US4TB3P0,9.2,52,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924316,7.3769946
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",18.3,US4TB3P0,18.3,53,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924469,7.271872
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.3,US4TB3P0,27.3,54,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924469,7.368525
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",7.3,US4TB3P0,7.3,55,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4924622,7.2733111
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",28.7,US4TB3P0,28.7,56,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4925232,7.2843137
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",13.7,US4TB3P0,13.7,57,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4925232,7.335525
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",10.6,US4TB3P0,10.6,58,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4925232,7.4013224
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",16.2,US4TB3P0,16.2,59,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4925537,7.2802501
