lon,lat,depth_m_chart_datum,enc_cell
134.5207977,7.3505859,8.3,US4TB3P0
134.5208435,7.3012471,40.0,US4TB3P0
134.5208588,7.2839193,352.0,US4TB3P0
134.5208893,7.2979331,25.9,US4TB3P0
134.5209045,7.3058109,21.1,US4TB3P0
134.5209351,7.2870445,168.0,US4TB3P0
134.5209503,7.3442335,18.1,US4TB3P0
134.5209808,7.330389,33.0,US4TB3P0
134.5209961,7.2939029,19.4,US4TB3P0
134.5211792,7.3493419,7.3,US4TB3P0
134.5213471,7.3214555,3.6,US4TB3P0
134.5213623,7.3284278,25.0,US4TB3P0
134.5213928,7.3030582,36.0,US4TB3P0
134.5214081,7.3078613,12.4,US4TB3P0
134.5214539,7.3483501,3.6,US4TB3P0
134.5214996,7.3413138,27.5,US4TB3P0
134.5214996,7.3475943,4.2,US4TB3P0
134.5216675,7.305572,40.0,US4TB3P0
134.521759,7.2960362,19.7,US4TB3P0
134.5217743,7.2708526,57.0,US4TB3P0
134.5218201,7.3068166,42.0,US4TB3P0
134.5218658,7.3103724,46.0,US4TB3P0
134.5219879,7.3043027,42.0,US4TB3P0
134.5220184,7.2948585,16.2,US4TB3P0
134.5220184,7.3330112,38.0,US4TB3P0
134.5220337,7.2742834,210.0,US4TB3P0
134.5220795,7.2818112,373.0,US4TB3P0
134.5220795,7.3218026,16.6,US4TB3P0
134.5220947,7.3344555,43.0,US4TB3P0
134.5221252,7.3228111,27.8,US4TB3P0
134.522171,7.2897277,3.4,US4TB3P0
134.522171,7.327239,47.0,US4TB3P0
134.5221863,7.3020859,47.0,US4TB3P0
134.5221863,7.3443942,21.6,US4TB3P0
134.5222168,7.3004084,40.0,US4TB3P0
134.5223389,7.2878389,82.0,US4TB3P0
134.5223541,7.2784581,332.0,US4TB3P0
134.5223846,7.2757835,259.0,US4TB3P0
134.5223846,7.3238502,9.7,US4TB3P0
134.522522,7.2930665,16.6,US4TB3P0
134.5225372,7.3303027,4.3,US4TB3P0
134.5225678,7.348053,1.0,US4TB3P0
134.522583,7.3251305,37.0,US4TB3P0
134.5226135,7.3123026,40.0,US4TB3P0
134.5226898,7.3055472,38.0,US4TB3P0
134.5227356,7.3416944,17.7,US4TB3P0
134.5227509,7.2993279,23.0,US4TB3P0
134.5227966,7.2856779,183.0,US4TB3P0
134.5228119,7.2726831,44.0,US4TB3P0
134.5228119,7.3318248,12.9,US4TB3P0
134.5229034,7.2956581,24.3,US4TB3P0
134.5229034,7.3202581,15.2,US4TB3P0
134.522934,7.3081279,45.0,US4TB3P0
134.5229797,7.3227806,18.6,US4TB3P0
134.5231476,7.3265777,29.0,US4TB3P0
134.5232086,7.3110752,39.0,US4TB3P0
134.5232239,7.3033834,58.0,US4TB3P0
134.5232239,7.3469029,4.2,US4TB3P0
134.5233002,7.3309417,26.0,US4TB3P0
134.5233002,7.334425,12.1,US4TB3P0
134.5233765,7.2734389,38.0,US4TB3P0
134.5233917,7.3011947,42.0,US4TB3P0
134.5234222,7.2884278,8.7,US4TB3P0
134.5234222,7.3448916,25.0,US4TB3P0
134.523468,7.3289499,19.4,US4TB3P0
134.523468,7.3433919,11.8,US4TB3P0
134.5235138,7.3046417,29.0,US4TB3P0
134.5235596,7.3176971,40.0,US4TB3P0
134.5236206,7.281847,313.0,US4TB3P0
134.5236816,7.3235807,21.3,US4TB3P0
134.5237122,7.3095861,47.0,US4TB3P0
134.5237122,7.3483863,9.7,US4TB3P0
134.5237274,7.316103,37.0,US4TB3P0
134.5237579,7.2977724,28.2,US4TB3P0
134.5238342,7.2940002,23.7,US4TB3P0
134.5240173,7.2842917,229.0,US4TB3P0
134.5240479,7.2768025,214.0,US4TB3P0
134.5240479,7.2863917,88.0,US4TB3P0
134.5240479,7.3267446,2.4,US4TB3P0
134.5241089,7.3340054,3.3,US4TB3P0
134.5241242,7.2743807,24.8,US4TB3P0
134.5241394,7.3061805,31.0,US4TB3P0
134.5241394,7.3141418,45.0,US4TB3P0
134.524292,7.3449583,11.7,US4TB3P0
134.5243225,7.3194666,43.0,US4TB3P0
134.5243988,7.3026943,54.0,US4TB3P0
134.5245209,7.349278,2.4,US4TB3P0
134.5245667,7.2751083,34.0,US4TB3P0
134.5246277,7.2759442,143.0,US4TB3P0
134.5246735,7.2790527,229.0,US4TB3P0
134.5247192,7.3101945,14.6,US4TB3P0
134.5248566,7.3257613,8.4,US4TB3P0
134.5248871,7.346489,1.9,US4TB3P0
134.5249176,7.3222919,41.0,US4TB3P0
134.5249481,7.277503,162.0,US4TB3P0
134.5250092,7.308547,33.0,US4TB3P0
134.5250549,7.3065724,36.0,US4TB3P0
134.5250855,7.3383803,4.6,US4TB3P0
134.525238,7.3234444,9.7,US4TB3P0
134.5253143,7.3416057,21.0,US4TB3P0
134.5253449,7.3324666,16.9,US4TB3P0
134.5253449,7.3487973,11.7,US4TB3P0
134.5255432,7.3404388,12.4,US4TB3P0
134.525589,7.2805195,162.0,US4TB3P0
134.525589,7.285161,28.7,US4TB3P0
134.5256043,7.2937307,16.7,US4TB3P0
134.52565,7.2762752,32.0,US4TB3P0
134.52565,7.2861557,27.2,US4TB3P0
134.5257721,7.3046141,53.0,US4TB3P0
134.5258026,7.2823887,153.0,US4TB3P0
134.5258942,7.3374443,27.0,US4TB3P0
134.5259705,7.287075,4.9,US4TB3P0
134.5261536,7.2999859,25.8,US4TB3P0
134.5262299,7.2952056,23.9,US4TB3P0
134.5262756,7.2790027,55.0,US4TB3P0
134.5262756,7.3406,19.6,US4TB3P0
134.5263367,7.2845416,53.0,US4TB3P0
134.5263519,7.3456669,3.3,US4TB3P0
134.526474,7.3413639,7.4,US4TB3P0
134.526535,7.2832751,61.0,US4TB3P0
134.526535,7.2861891,6.6,US4TB3P0
